Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.5370358423888684,86.40625,0.25910685521364213,90.6
2,0.16318352844566106,95.3125,0.15825904096663,93.85
3,0.11649465604685247,96.40625,0.120879649406299,95.8
4,0.08832779945107178,97.375,0.12356609138660132,95.75
5,0.06521597255719826,97.90625,0.10792278331681154,96.25
6,0.05382240363396704,98.40625,0.0941658684220165,96.75
7,0.05177046528435312,98.375,0.06932402307773008,97.9
8,0.05371657339972444,98.4375,0.09604300732165574,96.9
9,0.04859125620976556,98.53125,0.08141638728883117,97.0
10,0.04108953328919597,99.0,0.07168290048243943,97.4
11,0.03121570769813843,99.09375,0.0545626101201633,98.25
12,0.03145666459633503,99.15625,0.05471713594766334,98.2
13,0.030348887932486832,99.0625,0.04091188208871609,98.6
14,0.030651049017033073,99.15625,0.04851238223398104,98.0
15,0.02426578844897449,99.34375,0.06078545733791543,97.65
16,0.026079103830852546,99.1875,0.0893547889534966,96.7
17,0.021432313671248267,99.34375,0.044177279237483165,97.9
18,0.02032128728402313,99.71875,0.05517760286666453,97.65
19,0.01940268257400021,99.53125,0.054467829095898194,97.7
20,0.01846018182550324,99.625,0.07210520466847811,97.2
21,0.015152268988167635,99.65625,0.05835100137651898,97.7
22,0.017808727761876073,99.46875,0.05033865509551833,97.95
23,0.012744253418932204,99.71875,0.053681306186830625,97.9
