Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.3212515825685114,89.3125,0.22034072609245778,90.95
2,0.06901724399300292,97.90625,0.20010601669549943,92.15
3,0.042783216745592656,98.65625,0.08264377502352,97.0
4,0.04145533823524602,98.46875,0.0870291487481445,96.9
5,0.02715928959136363,99.1875,0.19079476384399457,92.8
6,0.026816665271180682,99.21875,0.03513339638710022,98.95
7,0.02383565630472731,99.21875,0.04703097474714741,98.3
8,0.017270426764152944,99.46875,0.1242371529233642,95.8
9,0.019290609968302307,99.5,0.08944622572744265,97.05
10,0.016722239039372654,99.5625,0.06705512224556878,97.5
11,0.008945398489886429,99.71875,0.0713903114493005,97.4
12,0.006067938227206468,99.875,0.060957385000772774,98.05
13,0.003963765573134878,99.90625,0.06783664973103441,97.9
14,0.007551158213609597,99.8125,0.08221079643140547,96.95
15,0.006409888471098384,99.78125,0.07488471268722788,97.5
16,0.004431428478565067,99.90625,0.045799526300514114,98.35
17,0.003590392407932086,99.875,0.070853941593552,97.65
18,0.003644676621770486,99.90625,0.059597861150978135,97.9
19,0.003113276185031282,99.90625,0.06258522587362676,97.75
20,0.00518514681578381,99.8125,0.0435275113505777,98.45
21,0.0033692861229064875,99.84375,0.05821941675641574,98.0
22,0.002399765178852249,99.96875,0.05929187594819814,98.05
23,0.005276345631282311,99.84375,0.035780024114996194,98.75
24,0.0066873360598401635,99.8125,0.02716761573171243,99.3
25,0.001960706539393868,99.96875,0.03909848459600471,98.65
26,0.0032102607723209077,99.9375,0.04861880726763047,98.25
27,0.001827346552454401,99.96875,0.04593229292193428,98.45
28,0.001481811637058854,100.0,0.05164634572924115,98.1
29,0.0036391754569194746,99.84375,0.08678414302435704,97.1
30,0.004155982417141785,99.84375,0.054292189359432086,98.25
31,0.0028506881720386447,99.96875,0.05090910404105671,98.3
32,0.004010444559098687,99.90625,0.055815100709442046,98.15
33,0.001710935493611032,100.0,0.03809198215929791,98.85
34,0.0018913477647583932,100.0,0.04633780706627295,98.45
